Id,Cluster Name,,,,,,,,,,,,,,,,,,
i-000fc35722d105d1a,oms-dev-pre,,,,,,,,,,,,,,,,,,
i-003c7e6860e51551b,fun-dev-cap-wms-aus,,,,,,,,,,,,,,,,,,
i-0046f8caa269056b8,null,,,,,,,,,,,,,,,,,,
i-00517716c0abec8b6,corev2-mp-core-sit,,,,,,,,,,,,,,,,,,
i-0063e311b0fe7536f,fun-dev-cap-wms-pms,,,,,,,,,,,,,,,,,,
i-009c3b43431cdb6a5,null,,,,,,,,,,,,,,,,,,
i-00a30eb0ff0a79708,fun-dev-cap-wms-nginx,,,,,,,,,,,,,,,,,,
i-00ab508c5c0e9e704,cimb-demo-AccountingServiceCluster,,,,,,,,,,,,,,,,,,
i-00cf553df446a5d16,fun-dev-cap-wms-mds-cli,,,,,,,,,,,,,,,,,,
i-010080385088f20ab,corev2-pms,,,,,,,,,,,,,,,,,,
i-011b1ef4c80e8a0a3,fun-qa-mp-cap-wms,,,,,,,,,,,,,,,,,,
i-012c8195d4b6b68bd,null,,,,,,,,,,,,,,,,,,
i-012f5c598f9dde11a,fun-dev-mds-cli,,,,,,,,,,,,,,,,,,
i-013bab1d9ccd30bc2,fun-dev-bo-oms,,,,,,,,,,,,,,,,,,
i-015ff658f33c64681,fun-qa-mp-pre,,,,,,,,,,,,,,,,,,
i-01679ac67e076c31a,fun-dev-bo-mds-cli,,,,,,,,,,,,,,,,,,
i-0182f9925c4a41f32,corev2-cap-dev,,,,,,,,,,,,,,,,,,
i-018a42bae3a4e671c,fun-qa-core-mp,,,,,,,,,,,,,,,,,,
i-01d6721f5a5823d6e,fun-dev-bo-pre,,,,,,,,,,,,,,,,,,
i-02000665e4ba72c21,fun-dev-cap-wms-pms,,,,,,,,,,,,,,,,,,
i-02421dd0f31c11c8d,cimb-demo-HoldingServiceCluster,,,,,,,,,,,,,,,,,,
i-025943c6e56b96a56,corev2-uat-core-mp,,,,,,,,,,,,,,,,,,
i-026658abab1724f57,cap-aw-mds-cli,,,,,,,,,,,,,,,,,,
i-02812e12cca179fbb,null,,,,,,,,,,,,,,,,,,
i-02a6e61d5588ded35,fun-dev-bo-pms,,,,,,,,,,,,,,,,,,
i-0301eaf03adc96ff7,fun-dev-mds-bo,,,,,,,,,,,,,,,,,,
i-030315d3f5b9d8d20,null,,,,,,,,,,,,,,,,,,
i-0367e3eb0aa54cbc4,cap-aw-pms,,,,,,,,,,,,,,,,,,
i-0384384930acc2c16,corev2-dev-pre,,,,,,,,,,,,,,,,,,
i-03bdbe88ff1b60230,cap-aw-qa-mds-cli,,,,,,,,,,,,,,,,,,
i-03c04fae5fc800039,oms-dev-cap,,,,,,,,,,,,,,,,,,
i-03d408c111de96437,null,,,,,,,,,,,,,,,,,,
i-03db1cfbd0bfa82a1,fun-dev-cap-wms-wigateway,,,,,,,,,,,,,,,,,,
i-03de875c10032b84c,corev2-mds,,,,,,,,,,,,,,,,,,
i-03ec9d7527cd0e3fe,corev2-dev-pre,,,,,,,,,,,,,,,,,,
i-03f8d45028c55de87,corev2-fun-qa-mds,,,,,,,,,,,,,,,,,,
i-0de92cd0e9a8f4c15,corev2-fun-qa-mds,,,,,,,,,,,,,,,,,,
i-045d1ca8d5b5d17e3,cap-aw-qa-nginx,,,,,,,,,,,,,,,,,,
i-04689d92a01d943c5,null,,,,,,,,,,,,,,,,,,
i-046f2f8ab85b53c44,null,,,,,,,,,,,,,,,,,,
i-0488952643cc3e87b,corev2-pms,,,,,,,,,,,,,,,,,,
i-04999cdea476293cb,null,,,,,,,,,,,,,,,,,,
i-04c1411e0b48cc6a1,oms-dev-oms,,,,,,,,,,,,,,,,,,
i-04c95cc25295f12d3,null,,,,,,,,,,,,,,,,,,
i-04e02c54b608da7cc,fun-dev-bo-oms,,,,,,,,,,,,,,,,,,
i-04e293bf605a4d31b,fun-dev-cap-wms-cap,,,,,,,,,,,,,,,,,,
i-04e50fbd4c5cad157,oms-dev-mds-cli,,,,,,,,,,,,,,,,,,
i-052da20bb1ed5d897,null,,,,,,,,,,,,,,,,,,
i-053c10140261a61a2,fun-dev-cap-wms-cap,,,,,,,,,,,,,,,,,,
i-056d0dd6d8244ea76,cap-aw-qa-wigateway,,,,,,,,,,,,,,,,,,
i-05901f01b9f5119c0,cap-aw-pre,,,,,,,,,,,,,,,,,,
i-05a437839414697c2,null,,,,,,,,,,,,,,,,,,
i-05a5c08dd83bba8b7,fun-dev-cap-wms-oms,,,,,,,,,,,,,,,,,,
i-05bbaa4a992fcf82c,cap-aw-qa-notifier,,,,,,,,,,,,,,,,,,
i-05d0bed1ee17363fd,null,,,,,,,,,,,,,,,,,,
i-05f53c0d6c53c5b36,fun-dev-bo-pms,,,,,,,,,,,,,,,,,,
i-0671db16a66334cdc,fun-dev-cap-wms-mp-cli,,,,,,,,,,,,,,,,,,
i-06a041fe378718676,fun-dev-mds,,,,,,,,,,,,,,,,,,
i-06ad07c3cd822b090,fun-dev-cap-wms-mp-cli,,,,,,,,,,,,,,,,,,
i-0704be08c1ee08ec1,fun-dev-bo-mp-cli,,,,,,,,,,,,,,,,,,
i-0709818f0e3591e04,null,,,,,,,,,,,,,,,,,,
i-0715ee3625906f11c,corev2-mp-core-sit,,,,,,,,,,,,,,,,,,
i-073ccdb5845f867a8,oms-dev-pms,,,,,,,,,,,,,,,,,,
i-075e51cc657679fd4,fun-qa-mp-pre,,,,,,,,,,,,,,,,,,
i-075eb6c0db066b50b,fun-dev-bo-cap-wms,,,,,,,,,,,,,,,,,,
